station_name,start_point_rides_count,end_point_rides_count
Maiden Ln & Pearl St,0.0,11.0
Mama Johnson Field - 4 St & Jackson St,1481.0,1516.0
Manila & 1st,2251.0,2308.0
Marin Light Rail,3008.0,2875.0
Marshall St & 2 St,2431.0,2438.0
McGinley Square,1671.0,1348.0
Mercer St & Bleecker St,0.0,1.0
Mercer St & Spring St,0.0,8.0
Monmouth and 6th,1135.0,1141.0
Montgomery St,1190.0,1207.0
Morris Canal,1628.0,1603.0
Mott St & Prince St,0.0,1.0
Murray St & West St,1.0,2.0
N Moore St & Hudson St,0.0,1.0
Newark Ave,2448.0,2446.0
Newport PATH,3938.0,3959.0
Newport Pkwy,3377.0,3378.0
North Moore St & Greenwich St,1.0,14.0
Oakland Ave,1130.0,952.0
Paulus Hook,1572.0,1535.0
Pearl St & Hanover Square,0.0,1.0
Pearl St & York St,0.0,1.0
Peck Slip & South St,0.0,1.0
Pershing Field,1245.0,1250.0
Pike St & Monroe St,0.0,1.0
Prospect Ave & E 167 St,1.0,1.0
Queens Plaza North & Crescent St,0.0,1.0
River St & 1 St,2622.0,2666.0
River Ter & Warren St,0.0,10.0
Riverside Dr & W 153 St,0.0,1.0
Riverview Park,1142.0,1128.0
Schermerhorn St & Court St,0.0,1.0
South End Ave & Albany St,0.0,3.0
South Waterfront Walkway - Sinatra Dr & 1 St,4105.0,4119.0
Southwest Park - Jackson St & Observer Hwy,2228.0,2264.0
Spring St & Hudson St,0.0,4.0
Spruce St & Nassau St,0.0,2.0
St Ann's Ave & Bruckner Blvd,1.0,1.0
Stagg St & Morgan Ave,0.0,1.0
Stevens - River Ter & 6 St,2600.0,2508.0
Union St,349.0,393.0
University Pl & E 14 St,0.0,1.0
Van Vorst Park,1860.0,1845.0
Vesey Pl & River Terrace,2.0,22.0
Vesey St & Church St,1.0,8.0
W 10 St & Washington St,0.0,1.0
W 116 St & Broadway,0.0,1.0
W 13 St & 5 Ave,2.0,0.0
W 15 St & 10 Ave,0.0,1.0
W 16 St & The High Line,0.0,3.0
W 18 St & 9 Ave,0.0,1.0
W 180 St & Ft Washington Ave,0.0,2.0
W 181 St & Riverside Dr,0.0,1.0
W 20 St & 10 Ave,0.0,1.0
W 22 St & 10 Ave,1.0,0.0
W 24 St & 7 Ave,0.0,2.0
W 30 St & 10 Ave,1.0,0.0
W 34 St & 11 Ave,0.0,3.0
W 34 St & Hudson Blvd E,0.0,2.0
W 36 St & 9 Ave,0.0,1.0
W 42 St & Dyer Ave,0.0,1.0
W 44 St & 5 Ave,0.0,2.0
W 51 St & 6 Ave,1.0,1.0
W 52 St & 11 Ave,0.0,1.0
W 52 St & 5 Ave,0.0,7.0
W 54 St & 6 Ave,0.0,8.0
W 56 St & 8 Ave,0.0,6.0
W 82 St & Central Park West,1.0,0.0
W 92 St & Broadway,0.0,1.0
W 95 St & Broadway,0.0,1.0
W Broadway & Watts St,0.0,1.0
Walker St & Baxter St,0.0,1.0
Warren St,2448.0,2397.0
Warren St & W Broadway,0.0,1.0
Washington Pl & 6 Ave,0.0,1.0
Washington Square E,0.0,1.0
Washington St,2353.0,2359.0
Washington St & Laight St,0.0,9.0
Water St & Gouverneur Ln,0.0,3.0
Watts St & Greenwich St,0.0,1.0
West End Ave & W 60 St,0.0,1.0
West St & Chambers St,0.0,8.0
White St & Johnson Ave,0.0,1.0
William St & Pine St,0.0,4.0
Willoughby Ave & Tompkins Ave,0.0,1.0
Willow Ave & 12 St,2046.0,2031.0
York St & Marin Blvd,640.0,670.0
